Title,First air date,End date,Rating,Genres,Status,Network or Channel,Summary,Tvmaze Link
The Rookie,2018-10-16,2025-05-13,8,"Comedy, Crime, Drama",Running,ABC,"The Rookie is inspired by a true story. John Nolan is the oldest rookie in the LAPD. At an age where most are at the peak of their career, Nolan cast aside his comfortable, small town life and moved to L.A. to pursue his dream of being a cop. Now, surrounded by rookies twenty years his junior, Nolan must navigate the dangerous, humorous and unpredictable world of a ""young"" cop, determined to make his second shot at life count.",https://www.tvmaze.com/shows/32938/the-rookie
Only Murders in the Building,2021-08-31,2025-10-28,6.8,"Comedy, Crime, Mystery",To Be Determined,Hulu,Only Murders in the Building follows three New Yorkers who find they have a mutual interest in solving true crime – but limit their amateur sleuthing to only murders in their building.,https://www.tvmaze.com/shows/48830/only-murders-in-the-building
Star Trek: Strange New Worlds,2020-09-08,2025-09-11,7.9,"Action, Adventure, Science-Fiction",Running,Paramount+,"Star Trek: Strange New Worlds follows Captain Pike, Science Officer Spock and Number One in the decade before Captain Kirk boarded the U.S.S. Enterprise, as they explore new worlds around the galaxy.",https://www.tvmaze.com/shows/48090/star-trek-strange-new-worlds
Law & Order: Special Victims Unit,2005-09-20,2025-11-13,7.9,"Crime, Drama, Legal",Running,NBC,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.",https://www.tvmaze.com/shows/103/law-order-special-victims-unit
Alien: Earth,2025-08-12,2025-09-23,7.4,"Horror, Science-Fiction, Thriller",To Be Determined,Hulu,"When the mysterious deep space research vessel USCSS Maginot crash-lands on Earth, Wendy and a ragtag group of tactical soldiers make a fateful discovery that puts them face-to-face with the planet's greatest threat.",https://www.tvmaze.com/shows/52336/alien-earth
Chicago Med,2015-11-17,2025-11-12,7.8,"Drama, Medical",Running,NBC,"An emotional thrill ride through the day-to-day chaos of the city's newest state-of-the-art trauma center and into the lives of the courageous doctors, nurses and staff who hold it all together. This is one of those days.",https://www.tvmaze.com/shows/2246/chicago-med
The Hunting Wives,2025-07-21,2025-07-21,5.6,"Drama, Thriller",Running,Netflix,"The Hunting Wives tells the story of Sophie O'Neil and her family's move from the East Coast to deep-red East Texas, where she succumbs to socialite Margo Banks‘ irresistible charms – and finds her life consumed by obsession, seduction, and murder.",https://www.tvmaze.com/shows/72427/the-hunting-wives
Rivals,2024-10-18,2024-10-18,6.4,"Drama, Romance",Running,Disney+,"Rivals dives headfirst into the cut-throat world of independent television in 1986, where the shoulder pads are big and ambitions even bigger. In the fictional upper-class county of Rutshire, a long-standing rivalry between two powerful men is about to boil over: ex-Olympian, Member of Parliament, and notorious womaniser Rupert Campbell-Black, and his Rutshire neighbour Tony Baddingham, controller of the independent TV franchise Corinium Television. As tensions rise and rivalries deepen, there are spilled secrets, forged alliances, and snatched liaisons that draw wives, lovers, colleagues, friends, and families into their battle.",https://www.tvmaze.com/shows/64087/rivals
McDonald & Dodds,2020-03-01,2024-08-04,7.6,"Crime, Drama",Running,BritBox,"McDonald &amp; Dodds is set in Bath and follows the wildly ambitious DCI McDonald, who is partnered with the shy, modest DS Dodds. While McDonald has transferred from the mean streets of South London to leap up the career ladder, Dodds has happily languished on the shelf for most of his working life.McDonald is a tough, driven, battering ram of a cop who cracks cases through sheer force of will; Dodds – the tortoise to her hare – is quiet, unassuming and enigmatic. But thrust back into frontline action for the first time in a decade, he discovers a hidden talent for deciphering puzzles. Two contemporary Britons, seemingly with nothing in common, thrown together, boss McDonald and loyal sidekick Dodds forge a rumbustious, entertaining and ultimately – give or take a few setbacks – effective partnership.",https://www.tvmaze.com/shows/46337/mcdonald-dodds
Coldwater,2025-09-14,2025-09-14,4.7,Thriller,To Be Determined,ITVX,"When his failure to intervene in a violent confrontation in a playground brings his identity crisis to a head, John ups and moves his family to the rural idyll of Coldwater, as far away from London as possible.Upon arrival, John is quickly befriended by next-door neighbour Tommy, a charming, confident man, devoted husband to the local vicar Rebecca. He is a man of faith, a pillar of the community and self-appointed leader of the village's all-male book group.  John is both impressed and slightly fascinated by Tommy. His wife Fiona despises him. As a successful former chef hoping to launch a new venture in Coldwater, Fiona sees the move as an opportunity to leave the past behind them. To not only re-build their lives as a family but re-ignite the long-lost spark in their fading marriage. When her husband's relationship with their enigmatic new neighbour becomes increasingly intense, Fiona's suspicions are aroused. She is unconvinced Tommy is all he seems to be.But John remains blissfully unaware that Tommy is harbouring horrifying secrets, and it's only after a series of unsettling incidents start to occur that John begins to wonder who the real Tommy actually is.",https://www.tvmaze.com/shows/78091/coldwater
Nine Bodies in a Mexican Morgue,2025-03-02,2025-04-06,7.5,"Mystery, Thriller",Ended,MGM+,"When a small plane traveling from Guatemala carrying a small group of passengers, crew and a pilot crashes in the Mexican jungle, all the bodies are recovered and placed in a morgue. But it turns out that only one of them died in the crash. The other passengers were murdered afterwards, each one in a unique way. But by whom? And why? As the story unfolds in flashback, we meet the survivors as they fight against the heat, a shortage of supplies, the many dangers of the jungle…and each other. The setting becomes increasingly tense and claustrophobic as, one by one, they are dispatched with a series of shocks that bring us ever closer to the truth and – at the very end – a jaw-dropping reveal.",https://www.tvmaze.com/shows/75195/nine-bodies-in-a-mexican-morgue
Love Is Blind,2020-02-13,2025-10-29,5.5,Romance,Running,Netflix,"With no distractions from the outside world, the singles talk to a stream of potential love interests and when a meaningful connection is made, they propose and then lay their eyes on their fiancé for the first time. Engaged and back in the real world, as the couples plan their wedding day, they will quickly discover whether they can turn their emotional connection into a physical one before the fast-approaching ceremony.",https://www.tvmaze.com/shows/46167/love-is-blind
Mysteries of the Abandoned,2017-04-20,2025-10-01,7.6,"History, Mystery, Travel",Running,Science,"Some of the world's most incredible engineering projects now lie in ruins. These deserted places are home to extraordinary mysteries and untold secrets, and we revisit them to understand how they were built, and why they were abandoned.They were once some of the most advanced structures and facilities on the planet, standing at the cutting-edge of design and construction. Today they are abandoned, dangerous, some of them even deadly. From uninhabited cities to empty factories, these long-forgotten engineering marvels are scattered around the globe. Science Channel uncovers why some of the world's most advanced architectural achievements were eventually left behind in the all-new series Mysteries of the Abandoned.Each of the six, hour-long episodes of Mysteries of the Abandoned features stories behind engineering wonders, why they were built, and the reasons they were eventually left to crumble. Each story recalls the people who originally designed the structure, their historical significance, and why they were ultimately no longer of use. The premiere episode explores California's Goat Canyon Trestle railway, known as the 'Impossible Railroad,' that required the biggest wooden trestle bridge in the world; Ukraine's Duga, the notorious anti-ballistic missile radar, known as the 'Russian Woodpecker,' that still stands in within the Chernobyl Exclusion Zone; and the Grand Goulets Road in the French Alps, an astonishingly narrow and perilous mountain passageway.",https://www.tvmaze.com/shows/27295/mysteries-of-the-abandoned
Humans,2015-06-14,2018-07-05,8.2,"Drama, Science-Fiction, Thriller",Ended,Channel 4,"Humans is set in a parallel present where the latest must-have gadget for any busy family is a Synth – a highly-developed robotic servant eerily similar to its live counterpart. In the hope of transforming the way they live, one strained suburban family purchases a refurbished synth only to discover that sharing life with a machine has far-reaching and chilling consequences.",https://www.tvmaze.com/shows/1363/humans
Dark Angel,2000-10-03,2002-05-03,8.1,"Action, Science-Fiction",Ended,FOX,"In the year 2019 the U.S. has become a third world country in the wake of the Pulse - an electromagnetic shockwave unleashed by nuclear terrorists in 2009. This is Max's world, an unforgiving place even for a genetically engineered soldier like her. On the run from her creators and constantly in search of her past, Max joins forces with the idealistic cyberjournalist ""Eyes Only"". She's a revved-up girl trying to make a run-down world a better place.",https://www.tvmaze.com/shows/554/dark-angel
Sullivan's Crossing,2023-03-19,2025-06-22,6.6,"Drama, Romance",Running,CTV,"After Neurosurgeon Maggie Sullivan's personal and professional life are thrown into turmoil she returns home to Sullivan's Crossing. While there, Maggie is forced to navigate her complicated present while confronting the painful past she has chosen to ignore for years.",https://www.tvmaze.com/shows/67268/sullivans-crossing
Mythic Quest,2020-02-07,2025-04-18,7.5,Comedy,Ended,Apple TV,Mythic Quest follows a team of video game developers as they navigate the challenges of running a popular video game.,https://www.tvmaze.com/shows/41530/mythic-quest
Sweet Punishment,2018-04-01,2018-06-24,5.2,"Adult, Anime, Romance",Ended,Tokyo MX,"Inside a prison in the near future, Hina Saotome — an office lady imprisoned despite her innocence — meets the elegant yet sadistic guard Aki Myojin. Hina's heart and body are at the mercy of Myojin's ""cruel yet sweet domination"" from physical examinations to even her lover's prison visits.",https://www.tvmaze.com/shows/35384/sweet-punishment
Bookish,2025-07-16,2025-07-16,6,"Crime, Drama",Running,Now,"London, 1946 is the dynamic, dangerous and chaotic setting for this stylish new detective drama, with the eccentric Gabriel Book at the very heart of the story: a self-appointed consultant detective to the local police. The thousands of books that line the shelves of his shop provide him with all the knowledge he needs.Book has gathered around him a host of lovable, damaged misfits whom he informally protects, cajoles, and mentors. His wife Trottie runs the wallpaper shop next door. She's a charismatic adventuress whom Book loves deeply but not physically, for they are in a 'lavender' marriage to help conceal Book's sexual orientation in a time when it was illegal to be gay.Bookish marries post-war nostalgia with the reckless and life-affirming atmosphere of the times, creating a fast-paced and stylish detective drama.",https://www.tvmaze.com/shows/76080/bookish
The Teacher,2022-01-31,2024-09-12,6.2,"Drama, Thriller",Running,5,"The Teacher series 2 follows the story of Dani, a teacher who loves her job. She's a mentor and inspiration to her students, but what she lacks is a properly functioning marriage with real intimacy and mutual desire. This leads her into an impulsive affair with a fellow colleague that at first answers all her needs, but soon spirals out of control.When a pupil goes missing on a school trip, Dani rightly blames herself for being too easily distracted. When things take a sinister turn, she is forced to lie, and quickly finds her life falling to pieces. She risks everything to right the wrongs that she has, in part, been responsible for.",https://www.tvmaze.com/shows/52490/the-teacher
Harlan Coben's Stay Close,2021-12-31,2021-12-31,6.3,"Drama, Mystery, Thriller",Ended,Netflix,"Stay Close tells the story of three people hiding dark secrets and living lives they never wanted. Megan is a soccer mum with a wild past and growing sense of dissatisfaction; Ray's talents as a documentary photographer are being wasted in a dead-end paparazzi job; while Broome is a detective struggling to let go of a cold case. Eventually, the consequences of their past actions crash together in the present day.",https://www.tvmaze.com/shows/48185/harlan-cobens-stay-close
Locke & Key,2020-02-07,2022-08-10,7.3,"Drama, Fantasy, Mystery",Ended,Netflix,"Locke &amp; Key revolves around three siblings who, after the gruesome murder of their father, move to their ancestral home in Massachusetts only to find the house has magical keys that give them a vast array of powers and abilities. Little do they know, a devious demon also wants the keys, and will stop at nothing to attain them.",https://www.tvmaze.com/shows/37883/locke-key
Billions,2016-01-17,2023-10-27,8,"Crime, Drama",Ended,Showtime on Demand,"Billions is a complex drama about power politics in the world of New York high finance. Shrewd, savvy U.S. Attorney Chuck Rhoades and the brilliant, ambitious hedge fund king Bobby ""Axe"" Axelrod are on an explosive collision course, with each using all of his considerable smarts, power and influence to outmaneuver the other. The stakes are in the billions in this timely, provocative series.",https://www.tvmaze.com/shows/3606/billions
"Murder, She Wrote",1984-09-30,2003-05-09,7.5,"Crime, Drama, Mystery",Ended,CBS,Jessica Fletcher is a famous mystery writer who has a knack for solving murders on and off the page.,https://www.tvmaze.com/shows/2083/murder-she-wrote
Glee,2009-05-19,2015-03-20,6.7,"Drama, Music, Romance",Ended,FOX,"Glee is a musical comedy about a group of ambitious and talented young adults in search of strength, acceptance and, ultimately, their voice.",https://www.tvmaze.com/shows/8/glee
The Celebrity Traitors,2025-10-08,2025-11-06,8,,Running,BBC One,"Claudia Winkleman has opened the castle doors to an all-star cast who are ready to play the ultimate game of deceit and betrayal.The celebrities will play the ultimate game of detection, backstabbing and trust, in the hope of winning a cash prize up to £100,000 for a charity of their choice.",https://www.tvmaze.com/shows/79108/the-celebrity-traitors
Babylon 5,,,,"Action, Drama, Science-Fiction",In Development,The CW,"From-the-ground-up reboot of the critically acclaimed 1990s series, which revolves around John Sheridan, an Earthforce officer with a mysterious background, who is assigned to Babylon 5, a five-mile-long space station in neutral space, a port of call for travelers, smugglers, corporate explorers and alien diplomats at a time of uneasy peace and the constant threat of war.",https://www.tvmaze.com/shows/57926/babylon-5
Gossip Girl,2007-09-19,2012-12-17,7.3,"Drama, Romance",Ended,The CW,"The privileged prep school teens on Manhattan's Upper East Side first learn that notorious party girl Serena van der Woodsen is back in town the way they learn all the important news in their lives -- from the blog of the all-knowing albeit ultra-secretive Gossip Girl. No one knows Gossip Girl's identity, but everyone in this exclusive and complicated vicious circle relies on her website and text messages for the latest scoop. Even Serena's closest and most competitive friend, Blair Waldorf, is surprised to find that Serena has suddenly ended her self-imposed exile to boarding school and returned to Manhattan. This is a world you have to be born into, full of wealth, power, and prestige, keeping track of the constantly shifting friendships, jealousies and turmoil in this complex world isn't easy, but it's what Gossip Girl does best.",https://www.tvmaze.com/shows/567/gossip-girl
The Kardashians,2022-04-14,2025-12-25,3.2,"Drama, Family",Running,Hulu,"Just when you think life can't get any faster in the Kardashian-Jenner family, they punch it into overdrive. From the big screen to baby bliss, the family continues to defy expectations in all their endeavors. Cameras roll as Kourtney, Kim, Khloé, Kendall, and Kylie navigate contentious sister dynamics, all under the watchful eye of everyone's favorite matriarch, Kris.",https://www.tvmaze.com/shows/59888/the-kardashians
Animal Kingdom,2016-06-14,2022-08-28,7.8,"Crime, Drama",Ended,TNT,Animal Kingdom is an adrenaline-charged drama starring Ellen Barkin as the matriarch of a Southern California family whose excessive lifestyle is fueled by their criminal activities.,https://www.tvmaze.com/shows/9993/animal-kingdom
Jeopardy!,2024-09-09,2026-01-02,8.3,,Running,Syndication,"Jeopardy! is a classic game show -- with a twist. The answers are given first, and the contestants supply the questions. Three contestants, including the previous show's champion, compete in six categories and in three rounds (with each round's ""answers"" being worth more prize money).",https://www.tvmaze.com/shows/2193/jeopardy
Blindspot,2015-09-21,2020-07-23,7.4,"Crime, Drama, Thriller",Ended,NBC,"A beautiful woman, with no memories of her past, is found naked in Times Square with her body fully covered in intricate tattoos. Her discovery sets off a vast and complex mystery that immediately ignites the attention of the FBI, which begins to follow the road map on her body into a larger conspiracy of crime, while bringing her closer to discovering the truth about her identity.",https://www.tvmaze.com/shows/1855/blindspot
Curb Your Enthusiasm,1999-10-17,2024-04-07,8,Comedy,Ended,HBO,"Curb Your Enthusiasm stars Seinfeld co-creator Larry David as himself in an unsparing but tongue-in-cheek depiction of his life. Shot in a verite style and featuring celebrities playing themselves, the episodes are improvised by the actors from an outline created by David.",https://www.tvmaze.com/shows/551/curb-your-enthusiasm
XL Joushi.,2019-10-06,2019-11-24,5.6,"Adult, Anime, Comedy, Romance",Ended,Tokyo MX,"Saki Watase is a female office worker who is running out of money. She takes a part-time job as a product tester and has to review an XL-size condom. Keisuke Sudō, Saki's ""demon boss"" she dislikes, reveals that he is XL-size. A romance then develops between Saki and Keisuke.",https://www.tvmaze.com/shows/44004/xl-joushi
Borderline,2024-09-02,2024-09-02,7.4,"Crime, Drama",To Be Determined,The Roku Channel,"Forced to collaborate on a serious crime, contrasting detectives Philip Boyd and Aoife Regan, with clashing personalities and backgrounds, overcome initial friction to form an unlikely but formidable crime-fighting partnership.",https://www.tvmaze.com/shows/79445/borderline
Boardwalk Empire,2010-08-23,2014-10-26,8.4,"Crime, Drama",Ended,HBO,"As the country struggles to cope with the Great Depression and the end of Prohibition looms, Nucky Thompson looks to legitimize himself through alliances with liquor producers, while rivals Lucky Luciano and Meyer Lansky seek to consolidate their power in the wake of Arnold Rothstein's death and eliminate all competition - by any means necessary on Boardwalk Empire.",https://www.tvmaze.com/shows/102/boardwalk-empire
War & Peace,2016-01-03,2016-02-07,7.9,"Drama, History, Romance",Ended,BBC One,"In a new adaptation of Leo Tolstoy's timeless novel, three young people experience life, love and loss against the epic backdrop of Russia's wars with Napoleon.",https://www.tvmaze.com/shows/3374/war-peace
The Affair,2014-10-12,2019-11-03,7.7,"Drama, Romance",Ended,Paramount+ with Showtime,"At once deeply observed and intriguingly elusive, The Affair explores the emotional effects of an extramarital relationship.Noah is a New York City schoolteacher and novelist who is happily married, but resents his dependence on his wealthy father-in-law. Alison is a young waitress trying to piece her life and marriage back together in the wake of a tragedy. The provocative drama unfolds when Alison and Noah meet in Montauk at the end of Long Island.",https://www.tvmaze.com/shows/127/the-affair
Power,2014-06-07,2020-02-09,7.9,"Crime, Drama",Ended,STARZ,"Power tells the story of James ""Ghost"" St. Patrick, a wealthy New York City nightclub owner who caters to the city's elite. He wants to build an empire, turn the club into a Fortune 500 business, but there's just one problem: Ghost is living a double life. When he is not in the club, he is the kingpin of the most lucrative drug network in New York for a very high-level clientele. His marriage, family and business all become unknowingly threatened as he is tempted to leave his criminal life behind and become the rags-to-riches businessman he wants to be most of all.",https://www.tvmaze.com/shows/299/power
All the Light We Cannot See,2023-11-02,2023-11-02,7.9,"Drama, Romance, War",Ended,Netflix,"In the final days of WWII, the paths of a blind French girl and a German soldier collide.",https://www.tvmaze.com/shows/41347/all-the-light-we-cannot-see
Servant,2019-11-28,2023-03-17,6.7,"Drama, Horror, Thriller",Ended,Apple TV,Servant follows a Philadelphia couple in mourning after an unspeakable tragedy creates a rift in their marriage and opens the door for a mysterious force to enter their home.,https://www.tvmaze.com/shows/41531/servant
Maxton Hall,2024-05-09,2025-11-28,6.7,"Drama, Romance, Thriller",Running,Prime Video,"When Ruby unwillingly witnesses an explosive secret at Maxton Hall Private School, arrogant millionaire heir James Beaufort is forced to confront the quick-witted scholarship student, much to his chagrin: He is determined to silence Ruby. Their passionate exchange of blows surprisingly ignites a spark ...",https://www.tvmaze.com/shows/63973/maxton-hall
Fate: The Winx Saga,2021-01-22,2022-09-16,7.4,"Action, Drama, Fantasy",Ended,Netflix,"Determined to master their enchanting powers, a group of teens navigate rivalry, romance and supernatural studies at Alfea, a magical boarding school.",https://www.tvmaze.com/shows/43917/fate-the-winx-saga
Red Queen,,,,Fantasy,In Development,Peacock,"Set in an alternate near-future America, where democracy is replaced by a monarchy and the population is separated into a common-blooded society (known as ""Reds"") and the powerful elites (or ""Silver-blooded""), Red Queen is centered on Mare Barrow, a poor young woman trying to survive and protect her family. Forced to serve the elites, she discovers that she too has superpowers, and becomes the symbol of a revolution for the oppressed while searching for the truth behind the greatest mystery of all…how she became so powerful in the first place.",https://www.tvmaze.com/shows/55579/red-queen
The Man Who Fell to Earth,2022-04-24,2022-07-03,7.3,"Drama, Science-Fiction",Ended,Paramount+ with Showtime,The Man Who Fell to Earth follows an alien who arrives on Earth at a turning point in human evolution and must confront his own past to determine our future.,https://www.tvmaze.com/shows/43235/the-man-who-fell-to-earth
Death Note,2006-10-03,2008-08-22,8.8,"Anime, Fantasy, Thriller",Ended,NTV,Death Note is an anime series based around a manga of the same name whereby a human finds a death god's notebook. Any person's name written in this notebook will die. The main character who finds this noteboook is Light Yagami who faces off against an unfaced character named L who tries to challenge him.,https://www.tvmaze.com/shows/40/death-note
Strictly Come Dancing,2009-09-18,2025-11-02,5.5,Family,Running,BBC One,Are today's celebrities fleet of foot or do they have two left feet? That's the question Tess Daly and Claudia Winkleman will be finding the answer to when they present Strictly Come Dancing.,https://www.tvmaze.com/shows/4395/strictly-come-dancing
Longmire,2012-06-03,2017-11-17,8.3,"Drama, Thriller, Western",Ended,Netflix,"Longmire, a contemporary crime thriller set in Big Sky country, is based on the Walt Longmire Mystery novels by best-selling author Craig Johnson. It focuses on a Wyoming sheriff who's rebuilding his life and career following the death of his wife.",https://www.tvmaze.com/shows/395/longmire
When Hope Calls,2019-08-19,2025-05-11,6.6,"Drama, Family, Romance",Running,Great American Family,"When Hope Calls tells the story of sisters Lillian and Grace who open an orphanage in the 1916 Western town of Brookfield. Caught between the traditions of cattle ranchers and the ambitions of a growing town, they strive to find romance and happiness while overcoming the challenges of helping the children in their care. Throughout their journey, they discover community, acceptance and love as they create the family they always longed to have. Familiar faces from Hope Valley, including Rosemary and Leland Coulter and Mountie Nathan Grant will be visiting Brookfield throughout the season.",https://www.tvmaze.com/shows/38064/when-hope-calls
Murder Most Puzzling,2025-06-19,2025-07-03,6.8,"Crime, Drama, Mystery",Running,5,"When a strange murder takes place in the sleepy market town of Bakerbury. The local police are baffled by a crossword puzzle left on the body.With their case going nowhere, they turn reluctantly to Cora Felton, a recent arrival in Bakerbury; whose fame as the eponymous Puzzle Lady suggests she can help DCI Hooper and the Bakerbury police solve its first murder case. But the eccentric Cora isn't who she claims to be, and as she throws herself into a murder case that has the town's residents baffled, she starts to gather allies and enemies in equal measure.",https://www.tvmaze.com/shows/85192/murder-most-puzzling
No Good Deed,2024-12-12,2024-12-12,5.9,"Comedy, Thriller",To Be Determined,Netflix,"When Lydia and Paul decide to move on from their empty nest to forge a new life, they list their gorgeous 1920s Spanish-style villa located in one the most desirable neighborhoods in Los Angeles - and the real estate frenzy begins. Multiple families all race to buy what they believe to be their dream house, convinced it will fix all of their very different problems. But as Lydia and Paul know all too well, sometimes the home of your dreams can be a true nightmare. As they struggle to hide the dark and dangerous secrets that linger inside their longtime home, Paul and Lydia begin to realize that the only way they'll escape the past is to finally face it.",https://www.tvmaze.com/shows/62291/no-good-deed
City on a Hill,2019-06-16,2022-09-25,7.4,"Crime, Drama, Thriller",Ended,Paramount+ with Showtime,"In the early 1990s, Boston was rife with violent criminals emboldened by local law enforcement agencies in which corruption and racism was the norm - and then it all changed in what was called the ""Boston Miracle"". In this fictional account, Assistant District Attorney Decourcy Ward comes from Brooklyn and forms an unlikely alliance with a corrupt yet venerated FBI veteran, Jackie Rohr. Together, they take on a family of armored car robbers in a case that grows to involve, and ultimately subvert, the entire criminal justice system of Boston.",https://www.tvmaze.com/shows/30780/city-on-a-hill
Charmed,2018-10-14,2022-06-10,5.6,"Drama, Mystery, Supernatural",Ended,The CW,"Mel and Maggie Vera suffer a shock when their mother dies suddenly, but before they have time to heal from their loss, another surprise shows up on their doorstep in the shape of an older sister -- brilliant geneticist Macy -- whom their mother never told them existed. The emotional stress takes its toll and the girls begin to exhibit impossible new abilities. An explanation comes from an unexpected place: the new chair of the women's studies department. Harry Greenwood reveals that the three are powerful witches, and he is their whitelighter, there to advise and guide them as they battle dark forces.",https://www.tvmaze.com/shows/24267/charmed
The Last Leg,2013-01-25,2025-10-31,6.5,Comedy,Running,Channel 4,Adam Hills and co-hosts Josh Widdicombe and Alex Brooker provide some offbeat commentary on the significant moments of the past seven days.,https://www.tvmaze.com/shows/4425/the-last-leg
General Hospital,2024-01-04,2025-11-07,5.8,"Drama, Medical",Running,ABC,"General Hospital, which celebrated its golden anniversary on April 1, 2013, continues its tradition of passion, intrigue and adventure that takes place in the fictional town of Port Charles in upstate New York. The glamour and excitement of those who have come to find their destinies in this familiar seaport town intertwine with the lives, loves and fortunes of beloved, well-known faces. As always, love, danger and mind blowing plot twists continue to abound on General Hospital with contemporary storylines and unforgettable characters.",https://www.tvmaze.com/shows/4189/general-hospital
Enola Holmes,2020-09-23,2022-11-04,7.5,"Adventure, Family, Mystery",Running,Netflix,"Enola Holmes puts a dynamic female twist on the world's greatest detective and his brilliant family. Based on the beloved Edgar-nominated book series, the films tell the story of Sherlock Holmes' rebellious teen sister Enola, a gifted super-sleuth in her own right who often outsmarts her famous siblings.",https://www.tvmaze.com/shows/55261/enola-holmes
Watch What Happens Live,2015-07-12,2025-10-30,5.3,,Running,Bravo,"Watch What Happens Live is an interactive series hosted by Bravo programming executive Andy Cohen, Bravo's Senior Vice President of Original Programming and Development, is best known to viewers as the host of the network's often explosive Watch What Happens reunion specials. Watch What Happens originally debuted as a live online show on www.bravotv.com. Watch What Happens welcomes guests from some of the cable network's most popular series, as well as other entertainment stars, to chat about pop culture and celebrities in the news!",https://www.tvmaze.com/shows/2836/watch-what-happens-live
Sharp Objects,2018-07-08,2018-08-26,7.2,"Drama, Mystery",Ended,HBO,"Sharp Objects centers on reporter Camille Preaker who, fresh from a brief stay at a psychiatric hospital, must return to her tiny hometown to cover the murders of two preteen girls. Trying to put together a psychological puzzle from her past, Camille finds herself identifying with the young victims a bit too closely.",https://www.tvmaze.com/shows/15112/sharp-objects
Battlestar Galactica,1978-09-17,1979-04-29,7.9,"Action, Adventure, Science-Fiction",Ended,ABC,"When the 12 Colonies of Man are wiped out by a cybernetic race called the Cylons, Commander Adama (Lorne Greene) and the crew of the battlestar Galactica lead a ragtag fleet of human survivors in search of a ""mythical planet"" called Earth.",https://www.tvmaze.com/shows/1059/battlestar-galactica
The Golden Bachelor,2023-09-28,2025-11-05,6.4,Romance,Running,ABC,"After more than 20 years of fostering young love on The Bachelor, The Bachelorette, and Bachelor in Paradise, The Golden Bachelor showcases a whole new kind of love story - one for the golden years. On this all-new unscripted series, one hopeless romantic is given a second chance at love in the search for a partner with whom to share the sunset years of life. The women arriving at the mansion have a lifetime of experience, living through love, loss and laughter, hoping for a spark that ignites a future full of endless possibilities. In the end, will our Golden man turn the page to start a new chapter with the woman of his dreams?",https://www.tvmaze.com/shows/68753/the-golden-bachelor
Utopia,2020-09-25,2020-09-25,6.9,"Drama, Science-Fiction, Thriller",Ended,Prime Video,"Based on the British series of the same name, Utopia follows a group of young adults, who meet online, and being mercilessly hunted by a shadowy deep state organization after they come into possession of a near mythical cult underground graphic novel – they discover the conspiracy theories in the comic's pages may actually be real and are forced in to the dangerous, unique and ironic position of saving the world.",https://www.tvmaze.com/shows/29901/utopia
The Young Pope,2016-10-21,2016-11-18,7.4,"Drama, History",Ended,Sky Atlantic,"The Young Pope tells the controversial story of the beginning of Pius XIII's pontificate. Born Lenny Belardo, he is a complex and conflicted character, so conservative in his choices as to border on obscurantism, yet full of compassion towards the weak and poor. The first American pope, Pius XIII is a man of great power who is stubbornly resistant to the Vatican courtiers, unconcerned with the implications to his authority.",https://www.tvmaze.com/shows/20412/the-young-pope
A Murder at the End of the World,2023-11-14,2023-12-19,7.2,"Crime, Mystery, Science-Fiction",Ended,Hulu,"A Murder at the End of the World is a mystery series with a new kind of detective at the helm - a Gen Z amateur sleuth and tech-savvy hacker named ""Darby Hart"". Darby and eight other guests are invited by a reclusive billionaire to participate in a retreat at a remote and dazzling location. When one of the other guests is found dead, Darby must use all of her skills to prove it was murder against a tide of competing interests and before the killer takes another life.",https://www.tvmaze.com/shows/56855/a-murder-at-the-end-of-the-world
Have I Got News for You,2024-09-14,2025-11-08,7.1,Comedy,Running,CNN,"Have I Got News for You is the comedy panel show which delivers comic observations from the satirical to the surreal through the lens of a news quiz show. An institution in Britain, this an award-winning comedy series is now invading America! Always relevant and topical, the series serves up a smart, silly, opinionated, and edgy take on the news of the week featuring a rotating collection of comedians, pundits, politicos, and entertainers. It features host Roy Wood Jr. along with two illustrious team captains Amber Ruffin and Michael Ian Black to guide the guests through an array of games and quick-witted panel conversations that test their knowledge of current events.",https://www.tvmaze.com/shows/78874/have-i-got-news-for-you
The Last Woodsmen,2024-11-15,2025-11-14,,"Action, Nature",Running,Discovery,"The Last Woodsmen takes us deep into the secluded wilderness with these courageous and highly skilled loggers as they literally risk their lives. It's a rarely explored, dangerous business which translates to incredibly engrossing television.On a floating barge hundreds of miles from civilization, veteran logger Jared Douglas puts everything on the line to harvest the largest timber in the world. One misstep in this high-risk industry could cost tens of thousands of dollars, or even a life. Joining him at the edge of the world is a tight-knit crew of lumbermen who, with only axes and hand-held power saws, take down massive, highly valuable trees that can be worth up to $70K each.",https://www.tvmaze.com/shows/80196/the-last-woodsmen
Lucky,,,,,In Development,Apple TV,"A young woman who left behind the life of crime she was raised in years ago must now embrace her darker, criminal side one final time in a desperate attempt to escape her past.",https://www.tvmaze.com/shows/81228/lucky
